Nombre;Tipo;SJR;Q;H_index;Total_docs;Total_docs_3_years;Total_refs;Total_cites_3_years;Citable_docs_3_years;Cites_doc_2_years;Ref_doc;Country;Url;Catalogue;Subject;Publisher;ISSN;Coverage;Scope;Graph
IEEE Systems Journal;journal;1.402;Q1;106;651;1598;22573;8338;1587;5.03;34.67;United States;https://www.scimagojr.com/journalsearch.php?q=11300153734&tip=sid&clean=0;Computer Science Applications
Journal of Chemical Information and Modeling;journal;1.396;Q1;192;741;1699;46100;10352;1678;6.05;62.21;United States;https://www.scimagojr.com/journalsearch.php?q=130080&tip=sid&clean=0;Computer Science Applications
Developments in the Built Environment;journal;1.374;Q1;23;189;97;14237;891;97;6.62;75.33;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21101068014&tip=sid&clean=0;Computer Science Applications
Computational Linguistics;journal;1.367;Q1;115;24;82;2265;791;81;9.52;94.38;United States;https://www.scimagojr.com/journalsearch.php?q=26801&tip=sid&clean=0;Computer Science Applications
Computers in Human Behavior Reports;journal;1.365;Q1;22;81;209;5971;1446;207;6.45;73.72;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21101078838&tip=sid&clean=0;Computer Science Applications
Internet of Things;book series;1.365;Q1;24;118;367;4126;738;1;1.52;34.97;Switzerland;https://www.scimagojr.com/journalsearch.php?q=21100826426&tip=sid&clean=0;Computer Science Applications
Ethics and Information Technology;journal;1.359;Q1;72;59;177;3334;902;173;4.84;56.51;Netherlands;https://www.scimagojr.com/journalsearch.php?q=2600147402&tip=sid&clean=0;Computer Science Applications
Journal of Informetrics;journal;1.355;Q1;90;82;266;4671;1126;264;4.01;56.96;Netherlands;https://www.scimagojr.com/journalsearch.php?q=5100155103&tip=sid&clean=0;Computer Science Applications
Electronic Commerce Research and Applications;journal;1.338;Q1;101;103;275;7437;2082;273;7.32;72.20;Netherlands;https://www.scimagojr.com/journalsearch.php?q=15057&tip=sid&clean=0;Computer Science Applications
Technology, Pedagogy and Education;journal;1.338;Q1;49;50;121;2887;770;120;6.83;57.74;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=5800179620&tip=sid&clean=0;Computer Science Applications
IEEE Circuits and Systems Magazine;journal;1.337;Q1;62;34;78;942;374;65;3.75;27.71;United States;https://www.scimagojr.com/journalsearch.php?q=26004&tip=sid&clean=0;Computer Science Applications
Bioinformatics Advances;journal;1.329;Q1;9;186;137;5677;344;135;2.51;30.52;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=21101136808&tip=sid&clean=0;Computer Science Applications
International Journal of Logistics Research and Applications;journal;1.322;Q1;59;131;198;10384;1633;195;7.86;79.27;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=11400153310&tip=sid&clean=0;Computer Science Applications
Information and Software Technology;journal;1.320;Q1;123;184;441;10855;2467;426;5.35;58.99;Netherlands;https://www.scimagojr.com/journalsearch.php?q=18732&tip=sid&clean=0;Computer Science Applications
IEEE Transactions on Neural Systems and Rehabilitation Engineering;journal;1.315;Q1;164;477;893;22947;5340;890;5.44;48.11;United States;https://www.scimagojr.com/journalsearch.php?q=16321&tip=sid&clean=0;Computer Science Applications
Interactive Learning Environments;journal;1.312;Q1;68;659;496;36503;3385;470;5.85;55.39;United Kingdom;https://www.scimagojr.com/journalsearch.php?q=145681&tip=sid&clean=0;Computer Science Applications
